# Omega PCC
-300 0.5350833675576678
-295 0.5219408281565532
-290 0.6046529707827271
-285 0.5884117564632564
-280 0.6470388251863155
-275 0.5350610157526798
-270 0.5922711842283024
-265 0.5861936152765967
-260 0.579172306159875
-255 0.6480328824499197
-250 0.686058732813424
-245 0.7389918284245978
-240 0.8094692714312539
-235 0.8185801033472611
-230 0.8255435561608839
-225 0.8697840989939302
-220 0.9027405122363795
-215 0.9298377185262732
-210 0.8970829073663313
-205 0.9354019775358845
-200 0.9459922920017483
-195 0.9482353367751831
-190 0.9571514761696385
-185 0.9474928689291082
-180 0.9454711158629332
-175 0.9522069157286379
-170 0.9537025390422298
-165 0.9416400593410511
-160 0.9348204093395664
-155 0.9360877785812511
-150 0.9363501236805762
-145 0.9301086055592205
-140 0.9264616537781285
-135 0.9327212805505987
-130 0.9412681985398292
-125 0.9481236138808482
-120 0.9586132451603101
-115 0.9679586527365025
-110 0.9759274021382125
-105 0.981353136988171
-100 0.9836089834872711
-95 0.9838047231518381
-90 0.9829574379856837
-85 0.9800243462839776
-80 0.9741822480742486
-75 0.9681791597663929
-70 0.9618533747026858
-65 0.9554307754764604
-60 0.9375596060266754
-55 0.9232807372428344
-50 0.9351382897589666
-45 0.9484706407951509
-40 0.9531760540560091
-35 0.9530377111512857
-30 0.9435332269475079
-25 0.9364177577125454
-20 0.9112265738752763
-15 0.8918670875169805
-10 0.8866293316651084
-5 0.8912518871849131
0 0.908734969086822
5 0.9345959774682167
10 0.9593274405329767
15 0.9764955490430407
20 0.9836973900921816
25 0.9842285308200431
30 0.9839854541975707
35 0.9847404391730719
40 0.9850787000158223
45 0.9814991714425686
50 0.9749445765333155
55 0.9676454732726831
60 0.968672783410296
65 0.9701080507014256
70 0.9663786225906308
75 0.969644206857226
80 0.96574636272463
85 0.9566403698122012
90 0.9430643481976388
95 0.9208423921577706
100 0.8910070814085613
105 0.8281920090627979
110 0.74710923562834
115 0.6686180099027423
120 0.5918673720289505
125 0.5381200479468374
130 0.4914169323292727
135 0.5273613203016877
140 0.6263835244474009
145 0.6943772759639203
150 0.7652971546553731
155 0.8052114376881734
160 0.8372611384527628
165 0.8707452498856227
170 0.9022613855396275
175 0.9351295623221707
180 0.9590556320091871
185 0.9678393733262234
190 0.9755699626609502
195 0.9802592735483716
200 0.9827019454520513
205 0.9859294538074432
210 0.9898151705373223
215 0.9905118777385269
220 0.9904293393135244
225 0.9895740509464706
230 0.9889700137029926
235 0.9863478015884539
240 0.9787140881185844
245 0.9636795749208824
250 0.9311588746748951
255 0.8477344045802724
260 0.6962440827038794
265 0.472704840144245
270 0.15255907419429313
275 -0.18620493970625235
280 -0.46682647533875443
285 -0.64085172755622
290 -0.6815606733498578
295 -0.6054480068057518
300 -0.424374316941342
305 -0.11302741400789532
310 0.22450309660533324
315 0.5134284199174046
320 0.6968397946908101
325 0.8075151684867087
330 0.8737664035010493
335 0.9137490672899881
340 0.9402879417061029
345 0.9585172408902756
350 0.9720013725367547
355 0.9809108409991423
360 0.9876468953089708
365 0.9913651994451813
370 0.9917492313527039
375 0.9890272033343137
380 0.9843529055724884
385 0.9759813711469116
390 0.9665733167391688
395 0.9555179120850126
400 0.943742274933828
405 0.9314937611127234
410 0.923188673267783
415 0.9177344921253467
420 0.91815866658307
425 0.9246617651109403
430 0.9364180576322704
435 0.9490420596940863
440 0.9652559683889288
445 0.976726827928321
450 0.983120846825948
455 0.9817733152139175
460 0.9797375010275731
465 0.9736865066180961
470 0.9700913964706905
475 0.9598479341864989
480 0.9533745455182748
485 0.949030964076189
490 0.9440552067751091
495 0.9247100171794576
500 0.8288813221101846
505 0.641761724504665
510 0.4637301607480698
515 0.4471295639842673
520 0.5522914654611101
525 0.708492438322392
530 0.8511621361819863
535 0.9347521370927832
540 0.9727492532030443
545 0.9787935526224796
550 0.9572241389562658
555 0.9371128467675083
560 0.9253188643877845
565 0.9230015928990479
570 0.925018004170106
575 0.9294360276783393
580 0.9337052216238981
585 0.938422332245987
590 0.9436442537604426
595 0.949545030674392
600 0.9557118810823368
605 0.9623651325839324
610 0.9686758013152447
615 0.9758450775219802
620 0.9829756192552637
625 0.989454535348673
630 0.9942857366101404
635 0.9968799844046676
640 0.9971853399972537
645 0.9959618982204643
650 0.9943239186119693
655 0.9940596416020222
660 0.9926188247605756
665 0.9912893075613555
670 0.9888760603819453
675 0.9883344162005818
680 0.9863041067684047
685 0.9812702132732414
690 0.982048912911185
695 0.9727040233846843
700 0.9631680941649547
705 0.9501372283664472
710 0.9339523691600273
715 0.9247206498999818
720 0.9133997971569316
725 0.8882700482502144
730 0.8601096659457133
735 0.8312726611616854
740 0.768393767002306
745 0.7640913474488585
750 0.7263226133074102
755 0.5738674062025033
760 0.5797668863267869
765 0.5578098198379517
770 0.49941759331357616
775 0.5715843120849893
780 0.6036118101263075
785 0.557744595611475
790 0.6003702852719353
795 0.5696850456522147
